Title,Land Size,Location,Total Price,Monthly Payment
House With Pool For Sale In Malabe,"Beds-5, Baths-6 Size-4714sqft",,"32,000,000","454,665"
Land With House For Sale In Biyagama,25 Perches,,,
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-2000sqft",,"28,000,000","397,832"
House For Sale In Kottawa,"Beds-2, Baths-1 Size-2994.75sqft",,"15,000,000","213,124"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Kottawa,6.2 Perches,,"6,510,000","92,496"
House For Sale In Gampaha,"Beds-4, Baths-2 Size-2000sqft",,"2,240,000","31,827"
House For Sale In Ja-Ela,"Beds-3, Baths-2 Size-2000sqft",,"10,500,000","149,187"
House For Sale In Minuwangoda,"Beds-1, Baths-1 Size-sqft",,"1,640,000","23,302"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1000sqft",,"2,600,000","36,942"
Land For Sale In Homagama,7.5 Perches,,,
Land For Sale In Matara,12 Perches,,,
House For Sale In Kiribathgoda,"Beds-5, Baths-2 Size-3000sqft",,"29,000,000","412,041"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Ethul Kotte,10 Perches,,,
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
House For Rent In Piliyandala,"Beds-1, Baths-1 Size-1000sqft",,,"18,000"
House For Sale In Ragama,"Beds-4, Baths-1 Size-sqft",,"10,000,000","142,083"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-2000sqft",,"28,000,000","397,832"
House For Sale In Kottawa,"Beds-2, Baths-1 Size-2994.75sqft",,"15,000,000","213,124"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Kottawa,6.2 Perches,,"6,510,000","92,496"
House For Sale In Gampaha,"Beds-4, Baths-2 Size-2000sqft",,"2,240,000","31,827"
House For Sale In Ja-Ela,"Beds-3, Baths-2 Size-2000sqft",,"10,500,000","149,187"
House For Sale In Minuwangoda,"Beds-1, Baths-1 Size-sqft",,"1,640,000","23,302"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1000sqft",,"2,600,000","36,942"
Land For Sale In Homagama,7.5 Perches,,,
Land For Sale In Matara,12 Perches,,,
House For Sale In Kiribathgoda,"Beds-5, Baths-2 Size-3000sqft",,"29,000,000","412,041"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Ethul Kotte,10 Perches,,,
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
House For Rent In Piliyandala,"Beds-1, Baths-1 Size-1000sqft",,,"18,000"
House For Sale In Ragama,"Beds-4, Baths-1 Size-sqft",,"10,000,000","142,083"
House With Pool For Sale In Malabe,"Beds-5, Baths-6 Size-4714sqft",,"32,000,000","454,665"
Land For Sale In Kuliyapitiya,1.5 Acres,,"11,000,000","156,291"
Land For Sale In Pelawatta,24.34 Perches,,"97,360,000","1,383,320"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-2314.3sqft",,"65,000,000","923,539"
House For Sale In Kottawa,"Beds-3, Baths-2 Size-1633.5sqft",,"18,000,000","255,749"
House For Sale In Malabe,"Beds-4, Baths-2 Size-1800sqft",,"16,000,000","227,333"
House For Rent In Mount Lavinia,"Beds-3, Baths-2 Size-1800sqft",,,"110,000"
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Ganemulla,18 Perches,,"4,500,000","63,937"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
House For Rent In Negombo,"Beds-6, Baths-6 Size-5300sqft",,,"190,000"
House For Sale In Talawatugoda,"Beds-3, Baths-3 Size-2400sqft",,"55,000,000","781,456"
House For Sale In Gampaha,"Beds-2, Baths-1 Size-sqft",,"3,000,000","42,625"
House For Sale In Talawatugoda,"Beds-3, Baths-3 Size-2400sqft",,"55,000,000","781,456"
House For Sale In Divulapitiya,"Beds-3, Baths-2 Size-sqft",,"21,000,000","298,374"
House For Sale In Homagama,"Beds-3, Baths-2 Size-2300sqft",,"29,000,000","412,041"
House For Sale In Homagama,"Beds-3, Baths-2 Size-2940sqft",,"29,000,000","412,041"
House For Sale In Kalagedihena,"Beds-4, Baths-3 Size-3400sqft",,"58,000,000","824,081"
House For Sale In Piliyandala,"Beds-5, Baths-2 Size-sqft",,"38,000,000","539,915"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Pannipitiya,"Beds-4, Baths-3 Size-2500sqft",,"32,000,000","454,665"
House For Sale In Pannipitiya,"Beds-5, Baths-5 Size-3267sqft",,"46,000,000","653,582"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Land For Sale In Athurugiriya,6 Perches,,"7,500,000","106,562"
House For Sale In Matara,"Beds-5, Baths-2 Size-2900sqft",,"13,800,000","196,074"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Gampaha,10.5 Perches,,"6,825,000","96,972"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Piliyandala,24 Perches,,"9,360,000","132,990"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
Land For Sale In Ja-Ela,40 Perches,,"34,000,000","483,082"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Room For Rent In Talawatugoda,"Beds-1, Baths-1",,,"12,000"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Buttala,3 Acres,,"3,000,000","42,625"
Land For Sale In Padeniya,200 Perches,,"4,500,000","63,937"
